Series,Current,Min,Max,Average
Start Time,-1.79769e+308
End Time,1.79769e+308
Current Time,1.70733e+09
/joint_states/fanuc_m20ia_35m_joint1/position,0.000001,-0.220187,0.126089,-0.081532
/joint_states/fanuc_m20ia_35m_joint1/velocity,-0.000000,-0.207672,0.217820,0.000028
/joint_states/fanuc_m20ia_35m_joint2/position,-0.001369,-0.931646,0.025214,-0.473429
/joint_states/fanuc_m20ia_35m_joint2/velocity,-0.000000,-0.742329,1.197104,-0.000149
/joint_states/fanuc_m20ia_35m_joint3/position,-0.000514,-0.717161,-0.000169,-0.240638
/joint_states/fanuc_m20ia_35m_joint3/velocity,0.000000,-0.524084,1.020104,0.001570
/joint_states/fanuc_m20ia_35m_joint4/position,-0.095241,-0.360651,0.009147,-0.176754
/joint_states/fanuc_m20ia_35m_joint4/velocity,0.000000,-0.237655,0.167782,-0.001601
/joint_states/fanuc_m20ia_35m_joint5/position,-0.000298,-0.000653,1.441668,0.727766
/joint_states/fanuc_m20ia_35m_joint5/velocity,0.000000,-1.145435,0.880320,-0.001753
/joint_states/fanuc_m20ia_35m_joint6/position,0.099201,-0.003011,0.292754,0.078241
/joint_states/fanuc_m20ia_35m_joint6/velocity,0.000000,-0.212591,0.185576,0.001715
/joint_states/header/stamp,295.400000,235.464000,295.400000,265.447110
/joint_states/joint_world_to_slider/position,-0.000017,-1.273064,0.460701,-0.541898
/joint_states/joint_world_to_slider/velocity,0.000000,-0.900304,0.599399,0.000008
